Age,Temperature Anomaly (Â°C) ,Earthquake Counts,Eruption Counts
50,-0.03,6,87
150,-0.1,6,87
250,-0.18,12,58
350,-0.17,4,54
450,-0.12,5,47
550,-0.11,4,53
650,-0.06,1,53
750,-0.02,0,41
850,0.04,1,47
950,0.02,0,31
1050,0.07,1,51
1150,0.06,0,41
1250,0.05,1,45
1350,0.08,0,36
1450,0.08,2,25
1550,0.04,0,39
1650,0.0,2,32
1750,-0.01,0,30
1850,0.02,0,35
1950,0.03,0,31
2050,0.05,2,62
2150,0.06,1,29
2250,0.07,0,33
2350,0.06,0,23
2450,0.08,0,23
2550,0.08,0,33
2650,0.1,0,20
2750,0.11,0,26
2850,0.14,0,24
2950,0.14,0,21
3050,0.13,0,41
3150,0.13,0,14
3250,0.13,0,28
3350,0.18,0,13
3450,0.19,0,18
3550,0.18,0,43
3650,0.23,0,17
3750,0.25,0,24
3850,0.25,0,17
3950,0.26,0,19
4050,0.27,0,43
4150,0.31,0,27
4250,0.32,0,16
4350,0.32,0,21
4450,0.35,0,29
4550,0.36,0,38
4650,0.34,0,21
4750,0.36,0,23
4850,0.4,0,21
4950,0.42,0,17
5050,0.43,0,42
5150,0.44,0,19
5250,0.45,0,18
5350,0.45,0,17
5450,0.44,0,17
5550,0.44,0,33
5650,0.45,0,17
5750,0.45,0,19
5850,0.43,0,27
5950,0.42,0,20
6050,0.44,0,39
6150,0.46,0,14
6250,0.45,0,25
6350,0.45,0,21
6450,0.44,0,16
6550,0.45,0,25
6650,0.47,0,21
6750,0.48,0,14
6850,0.5,0,14
6950,0.53,0,14
7050,0.53,0,29
7150,0.51,0,11
7250,0.48,0,15
7350,0.46,0,21
7450,0.46,0,20
7550,0.48,0,31
7650,0.48,0,18
7750,0.46,0,18
7850,0.44,0,16
7950,0.44,0,11
8050,0.46,0,35
8150,0.42,0,7
8250,0.43,0,14
8350,0.46,0,8
8450,0.48,0,4
8550,0.49,0,9
8650,0.49,0,2
8750,0.49,0,5
8850,0.49,0,2
8950,0.49,0,1
9050,0.48,0,2
9150,0.47,0,0
9250,0.47,0,5
9350,0.47,0,3
9450,0.46,0,4
9550,0.44,0,6
9650,0.43,0,2
9750,0.42,0,2
9850,0.4,0,3
9950,0.37,0,1
10050,0.33,0,0
10150,0.29,0,1
10250,0.25,0,0
10350,0.23,0,0
10450,0.23,0,1
10550,0.21,0,0
10650,0.18,0,0
10750,0.12,0,1
10850,0.05,0,0
10950,-0.03,0,0
11050,-0.11,0,0
11150,-0.18,0,0
11250,-0.25,0,0
11350,-0.33,0,1
11450,-0.41,0,0
11550,-0.5,0,0
11650,-0.63,0,0
11750,-0.78,0,0
11850,-0.88,0,0
11950,-0.95,0,0
12050,-1.02,0,0
12150,-1.08,0,0
12250,-1.12,0,0
12350,-1.19,0,0
12450,-1.28,0,0
12550,-1.35,0,0
12650,-1.37,0,0
12750,-1.36,0,0
12850,-1.33,0,0
12950,-1.29,0,0
13050,-1.26,0,0
13150,-1.23,0,0
13250,-1.18,0,0
13350,-1.13,0,0
13450,-1.1,0,0
13550,-1.12,0,0
13650,-1.14,0,0
13750,-1.16,0,0
13850,-1.2,0,0
13950,-1.25,0,0
14050,-1.28,0,0
14150,-1.3,0,0
14250,-1.34,0,0
14350,-1.4,0,0
14450,-1.48,0,0
14550,-1.59,0,0
14650,-1.72,0,0
14750,-1.84,0,0
14850,-1.94,0,0
14950,-2.02,0,0
15050,-2.07,0,0
15150,-2.11,0,0
15250,-2.15,0,0
15350,-2.18,0,0
15450,-2.21,0,0
15550,-2.25,0,0
15650,-2.29,0,0
15750,-2.32,0,0
15850,-2.36,0,0
15950,-2.39,0,0
16050,-2.43,0,0
16150,-2.47,0,0
16250,-2.51,0,0
16350,-2.55,0,0
16450,-2.59,0,0
16550,-2.63,0,0
16650,-2.67,0,0
16750,-2.71,0,0
16850,-2.74,0,0
16950,-2.76,0,0
17050,-2.8,0,0
17150,-2.85,0,0
17250,-2.88,0,0
17350,-2.88,0,0
17450,-2.89,0,0
17550,-2.9,0,0
17650,-2.91,0,0
17750,-2.92,0,0
17850,-2.93,0,0
17950,-2.95,0,0
18050,-2.97,0,0
18150,-2.99,0,0
18250,-3.01,0,0
18350,-3.02,0,0
18450,-3.03,0,0
18550,-3.04,0,0
18650,-3.06,0,0
18750,-3.08,0,0
18850,-3.1,0,0
18950,-3.11,0,0
19050,-3.1,0,0
19150,-3.1,0,0
19250,-3.11,0,0
19350,-3.12,0,0
19450,-3.1,0,0
19550,-3.08,0,0
19650,-3.07,0,0
19750,-3.08,0,0
19850,-3.09,0,0
19950,-3.11,0,0
20050,-3.11,0,0
20150,-3.12,0,0
20250,-3.13,0,0
20350,-3.14,0,0
20450,-3.15,0,0
20550,-3.16,0,0
20650,-3.17,0,0
20750,-3.18,0,0
20850,-3.19,0,0
20950,-3.19,0,0
21050,-3.2,0,0
21150,-3.21,0,0
21250,-3.22,0,0
21350,-3.23,0,0
21450,-3.25,0,0
21550,-3.25,0,0
21650,-3.25,0,0
21750,-3.25,0,0
21850,-3.24,0,0
21950,-3.23,0,0
22050,-3.22,0,0
